id;Объём баллона, л;Давление, ат;Объём газа, м3;Температура, °С;Колличество в связке;Объём газа в одном баллоне, м3;show;order_
201;1.00;150;0.156;20;1;0.156;true;1
1;1.00;150;0.150;20;1;0.150;false;1
2;2.00;150;0.310;20;1;0.310;false;2
202;2.00;150;0.312;20;1;0.312;true;2
4;4.00;150;0.620;20;1;0.620;true;4
5;5.00;150;0.780;20;1;0.780;true;5
7;10.00;150;1.560;20;1;1.560;true;10
210;40.00;150;6.240;20;1;6.240;true;40
10;40.00;150;6.360;20;1;6.360;false;40
211;50.00;150;7.800;20;1;7.800;true;50
11;50.00;150;7.950;20;1;7.950;false;50
231;40.00;150;74.880;20;12;6.240;true;61
31;40.00;150;76.320;20;12;6.360;false;61
113;2.00;200;0.412;20;1;0.412;true;202
95;50.00;200;10.300;20;1;10.300;true;250
232;50.00;150;93.600;20;12;7.800;true;9999
108;0.25;200;0.052;20;1;0.052;true;9999
109;0.30;200;0.620;20;1;0.620;true;9999
110;0.50;200;0.103;20;1;0.103;true;9999
111;1.00;200;0.206;20;1;0.206;true;9999
112;1.30;200;0.268;20;1;0.268;true;9999
114;2.50;200;0.515;20;1;0.515;true;9999
115;3.00;200;0.618;20;1;0.618;true;9999
116;4.00;200;0.820;20;1;0.820;true;9999
117;5.00;200;1.030;20;1;1.030;true;9999
118;7.00;200;1.440;20;1;1.440;true;9999
119;8.00;200;1.650;20;1;1.650;true;9999
120;10.00;200;2.060;20;1;2.060;true;9999
121;11.00;200;2.270;20;1;2.270;true;9999
122;12.00;200;2.470;20;1;2.470;true;9999
123;15.00;200;3.090;20;1;3.090;true;9999
124;20.00;200;4.120;20;1;4.120;true;9999
125;30.00;200;6.180;20;1;6.180;true;9999
296;40.00;200;8.840;20;1;8.840;true;9999
127;40.00;200;98.880;20;12;8.840;true;9999
128;40.00;200;197.760;20;24;8.840;true;9999
126;40.00;200;296.640;20;36;8.840;true;9999
129;50.00;200;123.600;20;12;10.300;true;9999
3;2.50;150;0.370;20;1;0.370;false;9999
6;8.00;150;1.250;20;1;1.250;false;9999
8;11.00;150;1.650;20;1;1.650;false;9999
32;50.00;150;95.400;20;12;7.950;false;9999
33;40.00;150;152.640;20;24;6.360;false;9999
34;40.00;150;225.960;20;36;6.360;false;9999
12;1.30;150;0.190;20;1;0.190;false;9999
13;3.00;150;0.600;20;1;0.600;false;9999
14;7.00;150;1.500;20;1;1.500;false;9999
36;50.00;150;63.600;20;8;7.950;false;9999
35;40.00;150;50.880;20;8;6.360;false;9999
100;0.00;0;0.000;0;0;0.000;false;9999
96;40.00;200;8.240;20;1;8.240;false;9999
101;0.25;150;0.039;20;1;0.039;true;9999
105;0.30;150;0.047;20;1;0.047;true;9999
106;0.50;150;0.078;20;1;0.078;true;9999
212;1.30;150;0.203;20;1;0.203;true;9999
203;2.50;150;0.390;20;1;0.390;true;9999
213;3.00;150;0.468;20;1;0.468;true;9999
214;7.00;150;1.092;20;1;1.092;true;9999
206;8.00;150;1.248;20;1;1.248;true;9999
208;11.00;150;1.720;20;1;1.720;true;9999
9;12.00;150;1.870;20;1;1.870;true;9999
15;15.00;150;2.340;20;1;2.340;true;9999
16;20.00;150;3.120;20;1;3.120;true;9999
235;40.00;150;49.920;20;8;6.240;true;9999
236;50.00;150;62.400;20;8;7.800;true;9999
